Country,Gun Prevalence per 100 ,Gun Law Strictness,Murder Rate,Suicide Rate,Population
Afghanistan,12.5,B,6.35,4.1,38928346
Albania,12,B,2.7,4.3,2877797
Algeria,2.1,C,1.36,2.5,43851044
Angola,11.2,C,4.85,6.1,32866272
Argentina,7.4,B,5.94,8.4,45195774
Armenia,6.1,B,2.98,3.3,2963243
Australia,14.5,B,0.94,12.5,25499884
Austria,30,A,0.66,14.6,9006398
Azerbijan,3.6,B,2.14,4.1,10139177
Bahamas,18.8,B,28.4,3.5,393244
Bahrain,12.8,B,0.52,8.9,1701575
Bangladesh,0.4,C,2.5,3.7,164689383
Barbados,3.5,B,10.91,0.6,287375
Belarus,6.1,B,3.58,21.2,9449323
Belgium,12.7,B,1.95,18.3,11589623
Belize,10,B,37.6,7.1,397628
Benin,0.3,C,6.18,7.8,12123200
Bhutan,0.8,C,1.13,4.6,771608
Bolvia,2,B,6.3,6.2,11673021
Bosnia/Herzegovina,31.2,B,1.28,10.9,3280819
Botswana,4.1,C,15.04,16.1,2351627
Brazil,8.3,B,29.53,6.9,212559417
Bulgaria,8.4,B,1.14,9.7,6948445
Burkina Faso,0.9,C,0.37,7.5,20903273
Burundi,2,B,6.02,6.2,11890784
Cambodia,4.5,C,1.84,4.9,16718965
Cameroon,2.1,B,4.17,9,26545863
Canada,34.7,B,1.68,11.8,37742154
Central African Republic,1.8,C,19.76,12.3,4829767
Chad,1,C,9.04,6.4,16425864
Chile,12.1,B,3.46,9,19116201
China,3.6,C,0.62,8.1,1439323776
Columbia,10.1,B,25.5,3.9,50882891
Comoros,1.5,C,7.7,5.4,869601
Costa Rica,10,B,11.9,8.1,5094118
Croatia,13.7,B,1.04,16.4,4105267
Cuba,2.1,B,4.99,14.5,11326616
Cyprus,34,B,1.11,3.6,1207359
Czechia,12.5,A,0.61,10.5,10708981
Denmark,9.9,B,0.98,10.7,5792202
Djibouti,3.1,C,6.48,9.6,988000
Dominican Republic,7.4,C,15.18,4.9,10847910
DR Congo,1.2,B,13.55,6.7,89561403
Ecuador,2.4,B,5.85,7.6,17643054
Egypt,4.1,B,2.51,3,102334404
El Salvador,12,B,82.84,6.1,6486205
Equitorial Guinea,12.5,C,2.31,7.9,1402985
Eritrea,0.4,C,8.04,10.9,3546421
Estonia,5,B,3.19,14.9,1326535
Ethiopia,0.4,B,7.56,5.4,114963588
Fiji,0.5,C,2.26,9,896445
Finland,32.4,B,1.42,15.3,5540720
France,19.6,B,1.35,13.8,65273511
Gabon,3.4,C,8.04,8.4,2225734
Gambia,6.5,B,9.13,4.8,2416668
Georgia,10.1,B,0.99,9.2,3989167
Germany,19.6,B,1.18,12.3,83783942
Ghana,8,B,1.68,6.6,31072940
Greece,17.6,B,0.75,5.1,10423054
Grenada,4.6,B,10.25,0.7,112523
Guatemala,12.1,B,27.26,5.9,17915568
Guinea,1,C,8.82,7,13132795
Guinea Bisseau,1.5,C,9.55,7,1968001
Guyana,15.8,B,18.37,40.3,786552
Haiti,2.6,C,10.04,9.6,11402528
Honduras,14.1,B,56.52,2.1,9904607
Hungary,10.5,B,2.07,16.6,9660351
Iceland,31.7,B,0.3,11.9,341243
India,5.3,B,3.22,12.7,1380004385
Indonesia,0,C,0.5,2.4,273523615
Iran,7.3,C,2.47,5.2,83992949
Iraq,19.6,B,9.85,3.6,40222493
Ireland,7.2,B,0.8,9.6,4937786
Israel,6.7,B,1.36,5.3,8655535
Italy,14.4,B,0.67,6.7,60461826
Jamaica,8.8,B,47.01,2.4,2961167
Japan,0.3,C,0.28,15.3,126476461
Jordan,18.7,B,1.55,1.6,10203134
Kazakhstan,2.8,B,4.81,17.6,18776707
Kenya,1.5,B,4.87,6.1,53771296
Kiribati,0.8,B,7.5,28.3,119449
Kuwait,16.7,B,1.8,2.9,4270571
Kyrgyzstan,2.8,B,4.49,7.4,6524195
Laos,3,C,7.01,5.4,7275560
Latvia,10.5,B,3.36,20.1,1886198
Lebanon,31.9,C,3.99,2.8,6825445
Lesotho,4.8,B,41.25,72.4,2142249
Liberia,2.1,B,3.23,4.5,5057681
Lichestein,28.8,A,2.6,20.7,38128
Libya,13.3,B,2.5,4.5,6871292
Lithuania,13.6,B,5.25,26.1,2722289
Luxembourg,18.9,B,0.72,11.3,625978
Madagascar,0.7,B,7.69,5.5,27691018
Malawi,0.3,C,1.73,5.4,19129018
Malaysia,0.7,C,2.11,5.7,32365999
Maldives,6.2,C,0.75,2.7,540544
Mali,1.1,C,10.9,4.1,20250833
Malta,28.3,B,0.94,6.1,441543
Mauritania,2.8,C,9.94,3.1,4649658
Mauritius,8.3,B,1.82,9.5,1271768
Mexico,12.9,B,19.26,5.3,128932753
Micronesia,0.7,C,4.67,28.2,548914
Moldova,3,B,3.19,14.7,4033963
Mongolia,7.9,B,5.66,17.9,3278290
Montenegro,39.1,B,4.46,21,628066
Morocco,4.8,B,1.24,7.2,36910560
Mozambique,4.5,C,3.4,13.6,31255435
Myanmar,1.6,B,2.27,2.9,54409800
Namibia,15.4,B,17.14,9.7,2540905
Nepal,1.5,B,2.16,9,29136808
Netherlands,2.6,B,0.55,11.8,17134872
New Zealand,26.3,B,0.99,11,4822233
Nicaragua,5.2,B,7.37,4.4,6624554
Niger,0.5,C,4.44,5.3,24206644
Nigeria,3.2,C,9.85,3.5,206139589
North Korea,0.3,C,4.4,9.4,25778816
Norway,28.8,B,0.51,11.8,5421241
Oman,16.7,B,0.66,4.9,5106626
Pakistan,22.3,B,4.41,8.9,220892340
Panama,10.8,B,9.67,2.9,4314767
Papua New Guinea,1,C,7.85,3,8947024
Paraguay,16.7,B,9.29,6,7132538
Peru,2,B,7.67,2.8,32971854
Philipinnes,3.6,B,11.02,2.2,109581078
Poland,2.5,B,0.67,11.3,37846611
Portugal,21.3,B,0.64,11.5,10196709
Qatar,16.7,B,0.38,5.8,2881053
Romania,2.6,B,1.25,9.7,19237691
Russia,12.3,B,10.82,25.1,145934462
Rwanda,0.5,B,2.52,5.6,12952218
Samoa,10.1,B,3.15,12.6,198414
Senegal,2,C,7.38,6,16743927
Serbia,39.1,B,1.39,11.4,8737371
Seychelles,4.1,C,12.74,8.1,98347
Sierra Leone,0.5,B,1.71,6.7,7976983
Singapore,0.3,C,0.32,11.2,5850342
Slovakia,6.5,B,1.4,12.1,5459642
Slovenia,15.6,B,0.48,19.8,2078938
Solomon Islands,0.2,C,3.77,14.7,686884
Somalia,12.4,C,4.31,7.9,15893222
South Africa ,9.7,B,33.97,23.5,59308690
South Korea,0.2,C,0.7,28.6,51269185
South Sudan,9.6,A,13.9,3.9,11193725
Spain,7.5,B,0.63,7.7,46754778
Sri Lanka,2.4,B,2.55,14,21413249
Sudan,6.6,A,5.16,3.8,43849260
Suriname,15.9,B,8.35,25.4,586632
Sweden,23.1,B,1.08,14.7,10099265
Switzerland,27.6,A,0.54,14.5,8654622
Syria,8.2,B,2.2,2,17500658
Tanzania,0.8,B,6.95,4.3,59734218
Thailand,15.1,B,3.24,8.8,69799978
Togo,0.8,B,9,8.8,8278724
Tonga,8,B,0.95,3.8,105695
Trinidad and Tobago,3.2,B,30.88,8.7,1399488
Tunisia,1.1,B,3.05,3.3,11818619
Turkey,16.5,B,4.31,2.4,84339067
Turkmenistan,0.4,B,4.22,5.7,6031200
Uganda,0.8,C,11.52,4.6,45741007
Ukraine,9.9,B,6.34,21.6,43733762
United Arab Emirates,16.7,B,0.89,6.4,9890402
United Kingdom,4.6,B,1.2,7.9,67886011
United States,120.5,A,5.35,16.1,331002651
Uruguay,34.7,B,7.69,21.2,3473730
Uzbekistan,0.4,B,3,8,33469203
Vanuatu,3.9,B,2.13,18,307145
Venezuela,18.5,C,56.33,2.1,28435940
Vietnam,1.6,C,1.52,7,97338579
Yemen,52.8,A,6.66,5.8,29825964
Zambia,0.9,B,5.3,7.3,18383955
Zimbabwae,2.8,B,6.67,14.1,14862924
